"Altitude
[km]","Electron Density
[m-3]",dAlt [m],dNe [m-3],TEC (Area Under Curve),,,,,,
100,2.27E+10,0,0,0.00E+00,,,,,,
150,2.80E+10,50000,2.54E+10,1.27E+15,,,,,,
200,5.04E+10,50000,3.92E+10,1.96E+15,,,,,,
250,1.40E+11,50000,9.52E+10,4.76E+15,,,,,,
300,2.19E+11,50000,1.80E+11,8.98E+15,,,,,,
350,2.01E+11,50000,2.10E+11,1.05E+16,,,,,,
400,1.52E+11,50000,1.77E+11,8.83E+15,,,,,,
450,1.08E+11,50000,1.30E+11,6.50E+15,,,,,,
500,7.60E+10,50000,9.20E+10,4.60E+15,,,,,,
550,5.45E+10,50000,6.53E+10,3.26E+15,,,,,,
600,4.01E+10,50000,4.73E+10,2.37E+15,,,,,,
650,3.04E+10,50000,3.53E+10,1.76E+15,,,,,,
700,2.36E+10,50000,2.70E+10,1.35E+15,,,,,,
750,1.87E+10,50000,2.12E+10,1.06E+15,,,,,,
800,1.52E+10,50000,1.70E+10,8.48E+14,,,,,,
850,1.25E+10,50000,1.39E+10,6.93E+14,,,,,,
900,1.05E+10,50000,1.15E+10,5.75E+14,,,,,,
950,8.96E+09,50000,9.73E+09,4.87E+14,,,,,,
1000,7.72E+09,50000,8.34E+09,4.17E+14,,,,,,
1050,6.73E+09,50000,7.23E+09,3.61E+14,,,,,,
1100,5.92E+09,50000,6.33E+09,3.16E+14,,,,,,
1150,5.26E+09,50000,5.59E+09,2.80E+14,,,,,,
1200,4.71E+09,50000,4.99E+09,2.49E+14,,,,,,
1250,4.24E+09,50000,4.48E+09,2.24E+14,,,,,,
1300,3.85E+09,50000,4.05E+09,2.02E+14,,,,,,
1350,3.51E+09,50000,3.68E+09,1.84E+14,,,,,,
1400,3.22E+09,50000,3.37E+09,1.68E+14,,,,,,
1450,2.97E+09,50000,3.10E+09,1.55E+14,,,,,,
1500,2.75E+09,50000,2.86E+09,1.43E+14,,,,,,
1550,2.55E+09,50000,2.65E+09,1.33E+14,,,,,,
1600,2.38E+09,50000,2.47E+09,1.23E+14,,,,,,
1650,2.23E+09,50000,2.31E+09,1.15E+14,,,,,,
1700,2.09E+09,50000,2.16E+09,1.08E+14,,,,,,
1750,1.97E+09,50000,2.03E+09,1.02E+14,,,,,,
1800,1.86E+09,50000,1.92E+09,9.58E+13,,,,,,
1850,1.76E+09,50000,1.81E+09,9.05E+13,,,,,,
1900,1.67E+09,50000,1.72E+09,8.58E+13,,,,,,
1950,1.59E+09,50000,1.63E+09,8.15E+13,,,,,,
2000,1.51E+09,50000,1.55E+09,7.75E+13,,,,,,
